start at 20:42:45
training begin at 20:42:47
step 100, training accuracy 0.76
step 200, training accuracy 0.9
step 300, training accuracy 0.9
step 400, training accuracy 0.96
step 500, training accuracy 0.9
step 600, training accuracy 0.94
step 700, training accuracy 0.86
step 800, training accuracy 0.9
step 900, training accuracy 0.92
step 1000, training accuracy 0.98
validation accuracy 0.9527500867843628
step 1100, training accuracy 0.92
step 1200, training accuracy 0.94
step 1300, training accuracy 1
step 1400, training accuracy 0.98
step 1500, training accuracy 0.96
step 1600, training accuracy 1
step 1700, training accuracy 0.96
step 1800, training accuracy 0.98
step 1900, training accuracy 1
step 2000, training accuracy 0.94
validation accuracy 0.9682500958442688
step 2100, training accuracy 1
step 2200, training accuracy 0.98
step 2300, training accuracy 1
step 2400, training accuracy 0.96
step 2500, training accuracy 0.96
step 2600, training accuracy 1
step 2700, training accuracy 1
step 2800, training accuracy 0.98
step 2900, training accuracy 0.96
step 3000, training accuracy 0.98
validation accuracy 0.974000096321106
step 3100, training accuracy 0.98
step 3200, training accuracy 0.98
step 3300, training accuracy 0.96
step 3400, training accuracy 1
step 3500, training accuracy 0.98
step 3600, training accuracy 0.98
step 3700, training accuracy 1
step 3800, training accuracy 1
step 3900, training accuracy 0.98
step 4000, training accuracy 0.98
validation accuracy 0.9820000529289246
step 4100, training accuracy 0.96
step 4200, training accuracy 1
step 4300, training accuracy 1
step 4400, training accuracy 1
step 4500, training accuracy 0.96
step 4600, training accuracy 0.96
step 4700, training accuracy 0.98
step 4800, training accuracy 1
step 4900, training accuracy 0.98
step 5000, training accuracy 0.98
validation accuracy 0.9850001335144043
step 5100, training accuracy 1
step 5200, training accuracy 0.98
step 5300, training accuracy 0.98
step 5400, training accuracy 1
step 5500, training accuracy 0.98
step 5600, training accuracy 1
step 5700, training accuracy 1
step 5800, training accuracy 1
step 5900, training accuracy 1
step 6000, training accuracy 1
validation accuracy 0.986250102519989
step 6100, training accuracy 1
step 6200, training accuracy 1
step 6300, training accuracy 0.94
step 6400, training accuracy 1
step 6500, training accuracy 0.98
step 6600, training accuracy 1
step 6700, training accuracy 1
step 6800, training accuracy 1
step 6900, training accuracy 1
step 7000, training accuracy 0.98
validation accuracy 0.9865001440048218
step 7100, training accuracy 1
step 7200, training accuracy 1
step 7300, training accuracy 1
step 7400, training accuracy 1
step 7500, training accuracy 1
step 7600, training accuracy 1
step 7700, training accuracy 1
step 7800, training accuracy 1
step 7900, training accuracy 0.98
step 8000, training accuracy 1
validation accuracy 0.9890000820159912
step 8100, training accuracy 1
step 8200, training accuracy 0.98
step 8300, training accuracy 1
step 8400, training accuracy 0.98
step 8500, training accuracy 0.96
step 8600, training accuracy 1
step 8700, training accuracy 1
step 8800, training accuracy 1
step 8900, training accuracy 1
step 9000, training accuracy 0.98
validation accuracy 0.989500105381012
step 9100, training accuracy 1
step 9200, training accuracy 1
step 9300, training accuracy 0.98
step 9400, training accuracy 1
step 9500, training accuracy 1
step 9600, training accuracy 0.98
step 9700, training accuracy 1
step 9800, training accuracy 1
step 9900, training accuracy 1
step 10000, training accuracy 0.98
validation accuracy 0.9892500638961792
step 10100, training accuracy 1
step 10200, training accuracy 1
step 10300, training accuracy 1
step 10400, training accuracy 1
step 10500, training accuracy 1
step 10600, training accuracy 1
step 10700, training accuracy 0.98
step 10800, training accuracy 1
step 10900, training accuracy 1
step 11000, training accuracy 1
validation accuracy 0.9922500252723694
step 11100, training accuracy 1
step 11200, training accuracy 1
step 11300, training accuracy 0.98
step 11400, training accuracy 1
step 11500, training accuracy 1
step 11600, training accuracy 1
step 11700, training accuracy 1
step 11800, training accuracy 0.98
step 11900, training accuracy 0.96
step 12000, training accuracy 1
validation accuracy 0.9912500977516174
step 12100, training accuracy 1
step 12200, training accuracy 1
step 12300, training accuracy 1
step 12400, training accuracy 1
step 12500, training accuracy 1
step 12600, training accuracy 1
step 12700, training accuracy 1
step 12800, training accuracy 0.98
step 12900, training accuracy 0.98
step 13000, training accuracy 1
validation accuracy 0.9927501082420349
step 13100, training accuracy 1
step 13200, training accuracy 1
step 13300, training accuracy 1
step 13400, training accuracy 1
step 13500, training accuracy 1
step 13600, training accuracy 1
step 13700, training accuracy 1
step 13800, training accuracy 0.98
step 13900, training accuracy 1
step 14000, training accuracy 1
validation accuracy 0.9932500123977661
step 14100, training accuracy 1
step 14200, training accuracy 1
step 14300, training accuracy 1
step 14400, training accuracy 1
step 14500, training accuracy 1
step 14600, training accuracy 1
step 14700, training accuracy 1
step 14800, training accuracy 0.98
step 14900, training accuracy 1
step 15000, training accuracy 1
validation accuracy 0.9932500720024109
step 15100, training accuracy 1
step 15200, training accuracy 1
step 15300, training accuracy 1
step 15400, training accuracy 1
step 15500, training accuracy 1
step 15600, training accuracy 1
step 15700, training accuracy 1
step 15800, training accuracy 1
step 15900, training accuracy 1
step 16000, training accuracy 0.98
validation accuracy 0.9950000047683716
step 16100, training accuracy 1
step 16200, training accuracy 1
step 16300, training accuracy 1
step 16400, training accuracy 1
step 16500, training accuracy 1
step 16600, training accuracy 1
step 16700, training accuracy 0.98
step 16800, training accuracy 1
step 16900, training accuracy 1
step 17000, training accuracy 1
validation accuracy 0.9935000538825989
step 17100, training accuracy 1
step 17200, training accuracy 0.98
step 17300, training accuracy 1
step 17400, training accuracy 1
step 17500, training accuracy 1
step 17600, training accuracy 1
step 17700, training accuracy 1
step 17800, training accuracy 1
step 17900, training accuracy 1
step 18000, training accuracy 1
validation accuracy 0.9932501316070557
step 18100, training accuracy 1
step 18200, training accuracy 1
step 18300, training accuracy 1
step 18400, training accuracy 0.98
step 18500, training accuracy 1
step 18600, training accuracy 0.98
step 18700, training accuracy 1
step 18800, training accuracy 1
step 18900, training accuracy 1
step 19000, training accuracy 1
validation accuracy 0.9952501058578491
step 19100, training accuracy 1
step 19200, training accuracy 1
step 19300, training accuracy 1
step 19400, training accuracy 1
step 19500, training accuracy 1
step 19600, training accuracy 1
step 19700, training accuracy 0.98
step 19800, training accuracy 1
step 19900, training accuracy 1
step 20000, training accuracy 1
validation accuracy 0.9960000514984131
step 20100, training accuracy 1
step 20200, training accuracy 1
step 20300, training accuracy 1
step 20400, training accuracy 1
step 20500, training accuracy 1
step 20600, training accuracy 1
step 20700, training accuracy 1
step 20800, training accuracy 1
step 20900, training accuracy 1
step 21000, training accuracy 1
validation accuracy 0.9957500696182251
step 21100, training accuracy 1
step 21200, training accuracy 1
step 21300, training accuracy 1
step 21400, training accuracy 1
step 21500, training accuracy 1
step 21600, training accuracy 1
step 21700, training accuracy 1
step 21800, training accuracy 1
step 21900, training accuracy 1
step 22000, training accuracy 1
validation accuracy 0.9955000877380371
step 22100, training accuracy 1
step 22200, training accuracy 1
step 22300, training accuracy 1
step 22400, training accuracy 1
step 22500, training accuracy 1
step 22600, training accuracy 1
step 22700, training accuracy 1
step 22800, training accuracy 1
step 22900, training accuracy 1
step 23000, training accuracy 1
validation accuracy 0.9925000071525574
step 23100, training accuracy 1
step 23200, training accuracy 1
step 23300, training accuracy 1
step 23400, training accuracy 1
step 23500, training accuracy 1
step 23600, training accuracy 1
step 23700, training accuracy 1
step 23800, training accuracy 1
step 23900, training accuracy 1
step 24000, training accuracy 1
validation accuracy 0.9960000514984131
step 24100, training accuracy 1
step 24200, training accuracy 1
step 24300, training accuracy 1
step 24400, training accuracy 1
step 24500, training accuracy 1
step 24600, training accuracy 1
step 24700, training accuracy 1
step 24800, training accuracy 1
step 24900, training accuracy 1
